Region,2007_Avg_Score,2008_Avg_Score,2009_Avg_Score,2010_Avg_Score,2012_Avg_Score,2014_Avg_Score,2016_Avg_Score,2018_Avg_Score,2019_Avg_Score,2020_Avg_Score,2021_Avg_Score,2022_Avg_Score,2023_Avg_Score,2024_Avg_Score
종로구,5.91,5.31,6.06,6.62,6.59,6.04,6.57,5.33,5.98,5.79,5.89,6.18,6.12,6.94
중구,5.4,5.11,5.49,6.31,7.39,5.8,6.6,5.82,5.91,6.15,6.09,6.24,6.36,6.53
용산구,5.81,5.41,5.25,5.82,7.44,5.84,6.48,6.14,5.57,6.02,5.97,6.31,6.51,6.51
성동구,6.09,5.26,5.98,6.4,5.98,6.05,6.42,5.99,5.57,5.98,6.14,6.41,6.49,6.3
광진구,5.9,5.71,6.16,6.44,6.45,5.95,6.33,6.3,5.93,5.94,6.09,5.58,6.53,6.77
동대문구,5.23,4.93,5.56,6.2,6.49,5.79,6.42,5.44,5.48,5.69,5.97,6.02,6.2,6.12
중랑구,5.5,5.6,6.14,6.38,7.33,6.29,6.64,5.71,6.23,5.92,5.64,5.91,6.17,6.33
성북구,4.83,5.14,5.6,5.72,7.26,5.93,6.81,5.77,5.45,5.89,5.9,5.93,6.15,6.35
강북구,6.08,5.84,5.77,5.83,6.75,5.84,6.47,5.45,5.73,5.8,6.2,6.13,5.72,5.68
도봉구,6.31,5.56,5.76,6.74,6.62,5.72,6.67,6.06,5.8,5.82,6.06,6.48,6.57,6.43
노원구,6.1,5.66,6.28,6.6,6.91,5.91,6.77,6.39,6.21,5.99,6.12,5.85,6.34,5.92
은평구,5.49,5.44,5.46,6.67,6.84,5.82,6.73,5.75,6.08,5.82,5.84,6.53,6.29,6.47
서대문구,5.67,5.59,5.6,6.36,6.77,5.92,6.71,5.91,6.1,6.08,6.12,6.29,6.18,6.43
마포구,5.49,5.21,5.24,6.59,6.58,6.12,6.4,6.45,6.17,5.86,6.19,6,6.12,6
양천구,6.35,5.79,5.85,6.2,5.69,6.26,6.83,6.92,6.03,6.13,6.1,5.51,5.91,6.21
강서구,5.97,5.33,5.55,5.67,5.76,5.77,6.91,5.36,5.98,5.87,5.77,6.52,6.47,6.6
구로구,5.33,4.96,5.54,6.35,5.44,5.91,6.44,5.97,5.94,5.88,5.82,5.9,6.47,6.53
금천구,4.7,5.26,5.21,5.17,5.95,5.79,6.57,5.26,5.38,5.54,5.8,5.88,6.57,5.82
영등포구,5.15,5.22,5.23,6.35,5.95,5.9,6.52,6.1,5.42,5.69,5.8,6.03,5.58,6.34
동작구,5.37,5.44,5.8,6.67,6.62,6.11,6.47,5.24,5.8,5.91,5.86,6.36,6.23,6.62
관악구,5.46,5.33,5.36,6.32,5.99,5.76,6.7,6.28,5.74,5.77,5.96,6.01,6.07,6.71
서초구,5.93,5.99,6.12,6.66,6.27,6.59,6.58,6.13,6.02,6.2,6.17,6.18,6.57,6.58
강남구,6.08,5.8,5.78,6.81,7.32,6.4,6.75,5.96,6.4,6.34,6.27,6.67,6.26,6.49
송파구,6.62,6.21,6.19,6.67,7.06,5.92,6.36,6.34,6.34,6.04,6.15,6.43,7.1,6.63
강동구,5.8,4.94,5.87,6.18,6.77,5.96,6.12,5.32,5.88,5.88,5.88,6.58,6.3,6.04
