Region,2010_Overall,2010_General_Public,2010_Neighbors,2010_Public_Institutions,2011_Overall,2011_Family,2011_Neighbors,2011_Public_Institutions,2011_Strangers,2011_Foreign_Residents,2012_Overall,2012_Family,2012_Neighbors,2012_Public_Institutions,2012_Strangers,2012_Foreign_Residents,2013_Overall,2013_Family,2013_Neighbors,2013_Public_Institutions,2013_Strangers,2013_Foreign_Residents,2014_Overall,2014_Family,2014_Neighbors,2014_Public_Institutions,2014_Strangers,2014_Foreign_Residents,2015_Overall,2015_Family,2015_Neighbors,2015_Public_Institutions,2015_Strangers,2016_Overall,2016_Family,2016_Neighbors,2016_Public_Institutions,2017_Overall,2017_Family,2017_Neighbors,2017_Public_Institutions,2018_Overall,2018_Family,2018_Neighbors,2018_Friends,2018_Public_Institutions,2019_Overall,2019_Family,2019_Neighbors,2019_Friends,2019_Public_Institutions,2019_Strangers,2019_Foreign_Residents,2020_Overall,2020_Family,2020_Neighbors,2020_Friends,2020_Public_Institutions,2020_Strangers,2020_Foreign_Residents,2021_Overall,2021_Family,2021_Neighbors,2021_Friends,2021_Public_Institutions,2021_Strangers,2021_Foreign_Residents,2022_Overall,2022_Family,2022_Neighbors,2022_Friends,2022_Public_Institutions,2022_Strangers,2022_Foreign_Residents,2023_Overall,2023_Family,2023_Neighbors,2023_Friends,2023_Public_Institutions,2023_Strangers,2023_Foreign_Residents,2024_Overall,2024_Family,2024_Neighbors,2024_Friends,2024_Public_Institutions,2024_Strangers,2024_Foreign_Residents
종로구,5.42,4.85,6.06,5.36,5.09,8.07,6.1,4.93,3.19,3.17,5.2,8.91,5.27,5.82,3.05,2.93,4.9,8.8,4.73,4.98,3.23,2.76,5.33,9.15,5.74,5.46,3.04,3.25,5.41,8.5,5.56,4.89,2.71,6.45,8.81,5.65,4.9,6.71,8.63,6.01,5.49,5.96,8.0,4.92,6.69,4.23,5.01,8.54,4.92,6.97,5.07,2.31,2.27,5.12,8.53,4.85,7.1,5.13,2.58,2.51,4.91,8.41,4.65,6.64,5.11,2.24,2.41,5.07,8.5,4.5,7.12,3.86,3.4,3.07,4.82,7.08,4.76,5.59,5.13,3.09,3.27,4.97,8.22,4.3,6.29,5.02,2.71,3.27
중구,6.1,5.68,6.6,6.02,5.34,8.47,5.95,5.5,3.49,3.27,6.25,8.74,6.06,6.35,5.06,5.02,5.01,8.63,5.01,5.04,3.58,2.78,5.21,8.61,6.15,5.08,3.29,2.92,5.68,9.08,5.76,4.75,3.13,6.45,8.75,5.71,4.89,6.53,8.85,5.46,5.29,6.83,8.72,5.54,7.38,5.67,5.24,8.59,5.18,6.84,5.24,2.92,2.67,5.18,8.54,4.83,6.92,5.28,2.62,2.86,5.08,8.6,4.73,7.09,5.37,2.29,2.4,5.36,8.87,4.87,7.43,5.09,3.05,2.86,4.71,8.59,3.97,7.1,5.13,1.8,1.67,5.19,8.29,4.56,7.19,5.83,2.61,2.65
용산구,5.52,5.22,5.88,5.47,5.38,8.46,6.34,5.35,3.47,3.26,4.65,8.63,4.89,4.56,2.59,2.57,5.22,8.61,5.57,4.83,3.96,3.14,4.76,8.61,5.41,4.61,2.81,2.39,5.64,8.79,5.7,4.98,3.07,6.38,8.65,5.58,4.92,6.29,8.46,5.34,5.05,6.81,8.61,5.89,7.12,5.64,4.93,8.36,4.81,6.57,5.15,2.21,2.51,5.22,8.29,4.94,6.88,5.37,2.79,3.03,5.12,8.54,4.83,6.81,5.18,2.66,2.68,5.3,7.98,4.73,6.74,5.12,3.47,3.76,5.32,7.89,4.7,6.37,5.37,3.62,3.96,5.18,8.28,4.92,6.93,4.63,3.08,3.24
성동구,5.83,5.25,6.0,6.26,4.64,7.48,5.39,4.52,3.15,2.69,4.37,9.0,4.38,3.7,2.04,2.71,4.86,8.05,5.01,4.47,3.72,3.03,4.94,8.65,5.05,4.9,3.03,3.08,5.41,8.74,5.5,5.07,2.32,6.26,8.75,5.3,4.73,6.44,8.71,5.35,5.24,6.17,8.15,4.98,6.54,5.01,5.24,8.43,5.17,6.9,5.26,2.69,2.97,5.14,8.43,5.07,6.84,5.37,2.55,2.59,5.12,8.34,4.87,6.83,5.32,2.63,2.7,5.16,8.63,4.56,6.96,4.75,2.98,3.08,4.78,8.56,4.55,7.08,4.72,1.77,1.97,5.3,8.81,5.02,7.38,4.51,3.0,3.08
광진구,5.24,4.82,5.58,5.31,5.22,8.92,5.88,5.02,3.24,3.06,4.93,9.03,5.03,5.46,2.6,2.51,5.38,8.45,5.41,5.91,3.9,3.26,5.12,8.73,5.67,4.78,3.4,3.0,5.7,8.99,5.81,4.96,3.05,6.55,8.89,5.62,5.12,6.37,8.98,4.99,5.13,6.89,8.51,5.63,7.56,5.88,5.51,8.88,5.35,7.33,5.81,2.68,2.98,5.22,8.68,4.84,7.0,5.56,2.67,2.59,5.05,8.52,4.75,7.0,5.1,2.49,2.44,4.62,8.52,3.99,6.7,4.06,2.12,2.32,4.81,8.76,3.79,6.64,5.21,2.25,2.23,4.51,8.29,4.23,6.54,4.73,1.49,1.77
동대문구,5.65,5.36,6.02,5.56,5.32,8.63,5.77,5.86,3.09,3.27,5.12,8.36,5.56,4.95,3.49,3.24,4.97,8.5,4.93,4.94,3.47,3.02,4.99,8.69,5.53,4.71,3.05,2.94,5.49,8.81,5.62,4.97,2.57,6.47,8.93,5.69,4.79,6.14,8.5,5.16,4.76,5.83,8.16,4.35,6.16,4.66,5.15,8.65,5.16,7.14,4.83,2.61,2.5,5.4,8.83,5.18,7.19,5.67,2.75,2.78,5.04,8.34,4.88,6.98,5.32,2.29,2.41,5.14,8.57,4.55,7.14,5.26,2.55,2.76,4.98,8.47,4.75,6.67,4.96,2.51,2.55,4.94,8.24,4.23,6.35,5.43,2.56,2.82
중랑구,5.94,5.31,6.06,6.44,5.36,8.36,5.81,5.4,3.59,3.62,5.23,8.73,5.65,4.97,3.46,3.34,5.69,9.18,5.81,5.56,4.31,3.57,4.75,8.62,5.24,4.96,2.35,2.6,5.81,9.07,5.61,5.51,3.03,6.43,8.75,5.5,5.05,6.63,8.9,5.75,5.25,6.79,8.51,5.72,7.25,5.7,5.12,8.61,4.93,7.24,5.52,2.07,2.36,5.24,8.66,5.05,6.92,5.48,2.63,2.69,5.17,8.34,5.09,7.04,5.36,2.5,2.7,5.25,8.75,4.83,6.98,4.85,2.94,3.13,5.21,7.98,4.9,6.21,5.14,3.51,3.54,4.88,8.05,4.32,6.27,4.68,2.89,3.05
성북구,5.54,4.91,5.97,5.73,5.26,8.9,6.08,5.78,2.78,2.75,4.96,8.74,5.32,5.21,2.8,2.74,5.41,9.07,5.88,5.6,3.7,2.79,5.31,8.96,5.98,4.97,3.53,3.11,5.74,8.93,5.63,5.08,3.32,6.55,8.85,5.74,5.06,6.25,8.61,5.32,4.82,6.27,8.42,5.25,6.43,4.98,4.89,8.44,4.76,6.6,4.91,2.31,2.32,5.0,8.51,4.9,6.91,5.27,2.22,2.21,5.02,8.26,4.79,6.79,5.4,2.45,2.46,4.97,8.65,4.53,6.88,5.54,2.05,2.17,5.12,8.59,4.87,6.96,6.11,1.95,2.23,5.74,8.91,5.21,7.49,6.11,3.35,3.37
강북구,5.48,5.15,5.79,5.5,5.12,8.72,5.82,4.56,3.19,3.33,5.28,8.78,5.61,5.15,3.56,3.3,5.47,8.66,5.51,5.8,3.95,3.43,5.07,9.0,5.78,4.41,3.29,2.88,5.76,8.91,5.67,5.5,2.95,6.57,9.0,5.67,5.04,6.59,8.53,5.8,5.45,6.64,8.46,5.27,7.18,5.66,5.24,8.96,5.04,7.45,4.81,2.49,2.68,5.42,8.17,5.34,6.97,5.6,3.14,3.3,5.12,8.28,4.91,6.63,5.41,2.75,2.73,5.01,8.84,4.74,6.95,5.4,2.11,2.04,4.82,8.29,4.5,6.82,5.17,1.97,2.16,5.04,7.97,4.78,6.84,4.78,2.79,3.09
도봉구,5.56,5.38,6.01,5.29,5.08,8.84,5.82,4.64,3.19,2.93,5.29,9.1,5.6,5.3,3.38,3.07,5.85,9.21,5.87,5.96,4.36,3.86,5.44,8.4,5.42,5.14,3.96,4.27,5.69,8.9,5.71,5.52,2.61,6.55,8.77,5.63,5.24,6.51,8.53,5.79,5.22,6.65,8.55,5.51,7.12,5.42,5.83,8.94,5.6,7.56,5.79,3.41,3.7,5.46,8.93,5.17,7.12,5.53,2.91,3.08,5.2,8.56,4.94,6.84,5.44,2.68,2.74,5.58,8.92,4.97,7.22,5.55,3.28,3.53,5.23,9.09,4.18,6.99,5.88,2.57,2.64,5.71,8.95,5.13,7.32,6.63,2.99,3.27
